company_name,high,low,last_price,prev_close,change,percent_gain
Manappuram Fin,110.90,99.20,108.15,101.65,6.5,6.39
FDC,275.10,259.00,272.55,257.60,14.95,5.8
HLE Glascoat,"3,778.00","3,555.00","3,697.80","3,495.05",202.75,5.8
Sapphire Foods,"1,313.00","1,206.00","1,285.25","1,215.80",69.45,5.71
Oil India,205.00,186.50,197.80,187.95,9.85,5.24
Fert and Chem,126.75,115.00,122.80,116.70,6.1,5.23
SpiceJet,51.40,47.00,49.50,47.05,2.45,5.21
Solar Ind,"3,199.05","3,010.25","3,142.80","2,987.15",155.65,5.21
NBCC (India),35.95,32.80,34.55,32.85,1.7,5.18
Jyothy Labs,181.90,170.60,181.05,172.20,8.85,5.14
Suzlon Energy,7.65,7.20,7.45,7.10,0.35,4.93
Tata Comm,"1,108.00","1,051.00","1,101.35","1,051.05",50.3,4.79
Interglobe Avi,"2,103.95","1,985.20","2,080.90","1,986.10",94.8,4.77
Prince Pipes,643.50,607.40,633.45,605.10,28.35,4.69
JSW Energy,288.40,270.00,285.80,273.70,12.1,4.42
Tata Elxsi,"9,425.00","8,888.00","9,308.60","8,956.70",351.9,3.93
Tube Investment,"2,398.00","2,205.35","2,306.75","2,219.50",87.25,3.93
ICICI Prudentia,587.00,563.70,582.10,560.15,21.95,3.92
Muthoot Finance,"1,152.00","1,105.05","1,144.40","1,101.30",43.1,3.91
Chalet Hotels,328.90,311.00,325.40,313.20,12.2,3.9
PB Fintech,574.60,550.85,571.25,549.85,21.4,3.89
Lakshmi Machine,"10,639.00","10,178.05","10,596.25","10,207.10",389.15,3.81
Redington,146.35,139.55,144.80,139.55,5.25,3.76
NLC India,73.95,69.95,72.60,70.00,2.6,3.71
Restaurant Bran,127.00,121.20,125.10,120.65,4.45,3.69
Bayer CropScien,"5,667.75","5,465.00","5,482.05","5,287.00",195.05,3.69
Prism Johnson,125.00,117.55,123.70,119.30,4.4,3.69
Navin Fluorine,"4,553.70","4,315.25","4,476.25","4,320.95",155.3,3.59
Dalmia Bharat,"1,628.25","1,550.00","1,616.30","1,561.85",54.45,3.49
Pidilite Ind,"2,649.65","2,563.40","2,640.85","2,554.10",86.75,3.4
J. K. Cement,"2,659.75","2,529.05","2,621.95","2,536.60",85.35,3.36
HFCL,69.80,65.75,68.05,65.85,2.2,3.34
PI Industries,"3,263.85","3,099.35","3,245.30","3,140.45",104.85,3.34
Indo Count,152.35,140.60,144.60,139.95,4.65,3.32
NMDC,112.40,107.75,110.90,107.40,3.5,3.26
KPIT Tech,538.00,521.00,535.90,520.25,15.65,3.01
Easy Trip,434.45,416.40,426.95,414.65,12.3,2.97
Sundaram Fin,"2,224.95","2,080.05","2,159.25","2,097.45",61.8,2.95
UltraTechCement,"6,799.00","6,588.05","6,775.20","6,588.05",187.15,2.84
Ramco Cements,760.00,731.20,756.80,735.95,20.85,2.83
